TIME,DISTANCE,w_cohere,w_avoid,w_align,w_random,max_acceleration,visible_distance,minimum_distance,max_velocity,weight,w_excretion_freq,w_attract,pheromone_decay,scout_velocity,scout_velocity_decay,scout_near,scout_min_neighbours,scout_minimum_distance,hive_pos
0.1,19.518,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
0.2,19.517,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
0.3,19.515,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
0.4,19.513,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
0.5,19.51,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
0.6,19.507,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
0.7,19.513,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
0.8,19.524,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
0.9,19.538,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
1.0,19.552,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
1.1,19.566,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
1.2,19.581,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
1.3,19.598,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
1.4,19.616,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
1.5,19.634,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
1.6,19.652,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
1.7,19.668,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
1.8,19.682,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
1.9,19.693,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
2.0,19.7,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
2.1,19.705,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
2.2,19.708,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
2.3,19.71,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
2.4,19.711,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
2.5,19.704,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
2.6,19.693,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
2.7,19.678,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
2.8,19.664,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
2.9,19.649,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
3.0,19.633,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
3.1,19.605,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
3.2,19.57,0.0,0.3,0.0,0.3,0.3,30.0,15.0,1.0,0.8,0.5,0.3,0.1,-2.5,0.8,5,10,10,[-20.   0.]
