TIME,DISTANCE,w_cohere,w_avoid,w_align,w_random,max_acceleration,visible_distance,minimum_distance,max_velocity,weight,w_excretion_freq,w_attract,pheromone_decay,scout_velocity,scout_velocity_decay,scout_near,scout_min_neighbours,hive_pos
0.1,20.172,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
0.2,20.174,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
0.3,20.175,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
0.4,20.172,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
0.5,20.165,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
0.6,20.153,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
0.7,20.137,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
0.8,20.117,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
0.9,20.092,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
1.0,20.063,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
1.1,20.028,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
1.2,19.988,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
1.3,19.941,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
1.4,19.89,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
1.5,19.831,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
1.6,19.766,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
1.7,19.693,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
1.8,19.612,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
1.9,19.527,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
2.0,19.434,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
2.1,19.335,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
2.2,19.23,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
2.3,19.12,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
2.4,19.007,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
2.5,18.89,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
2.6,18.771,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
2.7,18.649,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
2.8,18.524,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
2.9,18.397,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
3.0,18.269,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
3.1,18.139,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
3.2,18.007,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
3.3,17.874,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
3.4,17.74,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
3.5,17.605,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
3.6,17.469,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
3.7,17.333,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
3.8,17.196,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
3.9,17.058,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
4.0,16.92,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
4.1,16.781,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
4.2,16.643,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
4.3,16.504,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
4.4,16.366,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
4.5,16.228,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
4.6,16.089,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
4.7,15.951,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
4.8,15.813,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
4.9,15.675,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
5.0,15.536,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
5.1,15.398,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
5.2,15.259,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
5.3,15.119,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
5.4,14.98,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
5.5,14.841,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
5.6,14.702,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
5.7,14.562,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
5.8,14.424,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
5.9,14.284,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
6.0,14.145,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
6.1,14.006,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
6.2,13.867,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
6.3,13.728,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
6.4,13.588,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
6.5,13.45,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
6.6,13.31,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
6.7,13.171,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
6.8,13.031,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
6.9,12.891,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
7.0,12.751,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
7.1,12.611,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
7.2,12.471,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
7.3,12.331,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
7.4,12.191,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
